matchId,Diff-A,Diff-K,Diff_CS,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_Inhibitor,Diff_LV,Diff_WARDkill,Diff_WARDplaced,Diff_jglCS,dragonType,result
KR_6731860093,17,13,23,-1,-1,1,1,0,5,2,-31,24,4,1
KR_6749510736,5,10,100,1,1,-1,1,0,7,-3,52,-4,5,1
KR_6744043796,-2,0,14,-1,-1,1,1,0,0,-1,-30,7,4,1
KR_6746665728,-10,-5,-17,-1,1,-1,0,0,1,-7,8,11,2,1
KR_6728621329,9,10,25,-1,1,-1,0,0,2,4,28,-39,6,1
KR_6724602802,2,3,5,-1,-1,1,1,0,3,4,-17,32,2,1
KR_6730911180,2,-1,14,1,1,1,1,0,3,2,-18,44,6,1
KR_6749619406,7,1,16,-1,1,-1,-1,0,2,4,-2,-3,6,1
KR_6742593130,6,8,-25,1,-1,1,1,0,2,-1,24,15,6,1
KR_6746741106,-5,4,-2,1,1,1,1,0,2,1,-5,0,5,1
KR_6748776691,-8,-4,-42,-1,1,1,-1,0,-3,1,-1,-16,2,1
KR_6743429262,2,-4,-17,1,1,1,1,0,-1,-3,7,42,3,1
KR_6749732045,7,9,-45,1,-1,1,1,0,4,0,32,31,6,1
KR_6729007301,23,12,52,1,1,1,1,0,8,2,37,-7,2,1
KR_6751273890,6,5,-53,1,1,-1,-1,0,1,-1,-3,-40,4,1
KR_6731793619,0,2,14,-1,1,-1,1,0,1,-1,4,11,2,1
KR_6739593616,-9,-5,7,-1,1,-1,-1,0,-3,-2,8,5,6,1
KR_6736610437,28,20,50,-1,0,1,1,0,8,7,16,38,0,1
KR_6751164112,-17,-10,13,-1,0,0,-1,0,-2,0,0,0,0,1
KR_6738621010,6,5,68,-1,1,-1,1,0,3,-5,13,-32,6,1
KR_6746694495,-24,-10,-17,-1,-1,1,1,0,-2,-4,-8,30,3,1
KR_6747343062,3,1,96,-1,1,-1,1,0,3,-2,48,-9,5,1
KR_6734563527,-5,3,59,1,-1,1,0,0,3,-1,5,0,1,1
KR_6750647278,34,22,50,1,1,1,1,0,7,1,3,43,6,1
KR_6747758205,13,10,91,-1,-1,1,1,0,5,0,9,-8,5,1
KR_6752139822,8,3,28,1,1,-1,0,0,3,3,-12,3,5,1
KR_6740076427,12,0,-41,-1,-1,-1,-1,0,0,-3,-3,-28,4,1
