matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6728675184,420,3,12,10,10,-1,3,2,3,4,7,-1,2,1,6,1,7,3,0,3,0,21,4,0,-7,7,7,0,1,1,-1,-1,1,4,-1
KR_6755780484,440,-4,-81,-28,-9,-1,1,0,-4,4,0,0,1,1,-4,6,2,0,1,1,0,-9,-14,-6,-1,7,0,0,-3,1,1,-1,1,6,-1
KR_6768062927,440,3,-24,23,4,-5,5,0,0,4,4,2,1,3,6,2,8,1,1,2,0,6,12,-1,-3,4,0,0,2,0,1,1,-1,0,-1
KR_6759156095,420,-1,-67,-12,-5,-2,3,1,-7,7,0,5,1,6,-1,1,0,0,0,0,0,-8,6,2,-6,4,-9,0,1,1,-1,1,1,5,-1
KR_6605744824,440,-1,12,28,-8,-10,10,0,-2,3,1,-4,6,2,7,1,8,1,2,3,0,-3,118,-2,-2,4,4,0,1,1,1,1,1,3,-1
KR_6576144646,420,-1,-38,1,0,1,1,2,0,3,3,0,1,1,-1,2,1,0,0,0,2,11,-11,-6,-5,11,5,0,1,1,1,1,1,6,-1
KR_6740473921,440,4,50,25,5,3,1,4,1,1,2,2,2,4,-1,2,1,0,1,1,0,9,353,1,-5,4,-2,0,1,1,1,1,1,5,-1
KR_6764071941,420,-2,-16,12,-6,0,1,1,-6,10,4,0,0,0,1,2,3,-1,2,1,0,-3,21,3,-6,3,-28,0,0,-1,1,1,1,4,-1
KR_6725945643,420,-2,-97,-16,1,-4,5,1,0,0,0,1,2,3,3,1,4,1,0,1,0,10,21,2,-7,5,-7,0,-2,1,-1,-1,-1,5,-1
KR_6728143061,420,-6,-95,-53,-3,-1,1,0,-1,1,0,0,0,0,4,1,5,-5,9,4,-1,3,-6,1,-4,3,0,0,-2,-1,-1,-1,-1,3,-1
