Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,Diff-K-jug,Diff-K-mid,Diff-K-ad,Diff-K-sup,K-LOSE-sup,invadeKill,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
-4,-22,-12,-15,-5,-3,-2,-1,-4,0,0,-2,-3,-1,0,-1,-1,1,-1,-1,4,-1
-2,57,8,-7,-2,-1,-5,-1,2,-2,0,2,-1,-2,0,1,1,1,1,1,1,-1
4,0,5,1,-2,4,2,-3,0,-1,-1,1,0,-8,0,0,1,1,0,-1,5,-1
-4,-107,-28,-9,-5,4,-7,0,-1,0,-3,35,-3,-2,0,-1,0,-1,-1,-1,0,-1
-1,-26,12,6,1,4,0,-1,2,-2,0,-2,0,-4,0,1,0,1,1,1,0,-1
-3,-16,-9,-4,0,1,-4,0,-1,-2,0,-201,3,-6,0,0,-1,1,-1,-1,5,-1
-6,-42,-37,-11,2,-3,-5,-5,0,0,1,-27,-5,-2,0,-4,-1,-1,-1,1,1,-1
-2,-57,38,-7,-1,3,0,-9,0,-2,0,139,1,-4,0,-1,-1,0,-1,-1,3,-1
-2,-31,-32,4,0,4,-1,-1,2,-5,0,-115,-2,-2,0,0,-1,-1,-1,-1,3,-1
-1,52,4,-5,0,-3,1,-3,0,0,0,-1,-1,-3,0,1,1,1,-1,-1,6,-1
-3,-15,-23,-10,-8,1,1,-3,-1,-1,0,5,3,-6,0,-3,-1,-1,-1,-1,5,-1
-1,-53,4,-6,-1,0,1,-6,0,0,-1,-18,-5,-2,0,-1,1,1,-1,-1,5,-1
-2,-10,-13,0,4,0,0,-3,-1,0,0,9,1,-5,0,1,-1,1,1,-1,4,-1
-3,19,-4,2,-3,-1,1,0,5,-7,0,-15,2,-7,0,-1,-1,1,-1,1,1,-1
0,-29,-12,0,1,-1,0,-1,1,-2,0,-1,-2,-3,0,1,-1,1,1,-1,4,-1
2,70,12,3,0,0,1,2,0,-3,0,-3,2,-3,0,0,-1,-1,0,1,2,-1
-1,-46,-16,-1,-1,4,-1,-3,0,-1,-2,2,1,-4,0,0,-1,1,-1,-1,3,-1
1,15,4,-5,0,-2,0,-4,1,-1,-2,28,0,-4,0,2,0,1,1,1,0,-1
-6,-118,-28,-22,-1,-4,-11,-3,-3,0,-1,-227,-5,0,0,-3,-1,-1,-1,-1,5,-1
-3,26,-9,-7,1,-4,-5,1,0,0,-1,0,1,-6,0,0,1,-1,0,-1,4,-1
2,-66,78,-3,-2,8,-6,-3,0,-3,2,15,1,-7,0,-1,1,1,-1,-1,6,-1
-5,-47,20,-8,-1,-1,-4,0,-2,0,0,-17,-6,-3,0,0,1,-1,0,1,1,-1
-4,-50,-4,-10,-1,-3,-1,-2,-3,0,-1,-4,-2,-4,0,1,-1,1,1,-1,5,-1
-2,12,-3,-6,-1,1,-2,-1,-3,0,0,-124,0,-3,0,0,-1,1,0,1,3,-1
-7,-21,-40,-7,-3,1,-2,0,-3,0,0,11,0,-4,0,-1,-1,1,-1,1,2,-1
-2,-39,26,-14,0,-8,-5,0,-1,-1,1,-96,-7,-2,0,-2,-1,-1,-1,1,5,-1
-3,-11,-36,-6,-4,-2,3,-2,-1,-1,0,13,1,-6,0,0,1,-1,0,1,5,-1
-4,19,-11,-10,-4,-5,-3,3,-1,-1,0,-249,6,-9,0,-2,0,-1,-1,-1,0,-1
-2,3,20,-4,0,-2,-3,0,1,-1,-1,-1,-3,-3,0,0,-1,1,0,-1,2,-1
0,-30,32,1,-2,1,-2,5,-1,0,0,-3,3,-5,0,-1,1,-1,-1,1,2,-1
-4,-53,-16,-3,-1,-2,6,-3,-3,-1,-1,-2,-3,-3,0,-1,1,0,-1,-1,5,-1
4,31,12,5,2,3,-1,0,1,-1,0,-3,4,-6,0,2,1,1,1,1,6,-1
-2,-20,-16,-2,-4,0,0,1,1,-1,-1,-3,0,-4,0,-1,0,-1,-1,-1,0,-1
-4,-18,-9,-12,-1,-3,-3,-4,-1,0,-1,-9,-2,-1,0,-2,-1,-1,-1,-1,4,-1
0,-4,8,0,-2,-2,5,2,-3,-1,0,-8,-4,-4,0,0,-1,0,0,-1,2,-1
0,13,-3,2,0,2,-5,2,3,-4,0,5,2,-4,0,0,-1,1,-1,1,1,-1
0,19,1,5,-3,-1,0,6,3,-3,1,0,5,-9,0,0,1,-1,-1,1,2,-1
2,60,8,-2,1,0,0,-2,-1,0,0,2,0,-3,0,-1,1,-1,-1,1,1,-1
-1,-27,-4,-1,2,0,1,-5,1,-3,0,-2,-1,-4,0,-1,-1,1,-1,1,6,-1
0,30,-16,5,-3,0,3,4,1,-1,0,8,5,-6,0,0,0,0,1,1,0,-1
-1,-2,-58,6,0,2,-2,3,3,-4,-1,-12,3,-5,0,-1,1,-1,-1,-1,1,-1
2,-37,-4,2,-1,0,4,-1,0,0,-1,3,2,-9,0,0,1,-1,0,-1,4,-1
2,-3,32,-2,2,-2,-2,1,-1,0,0,6,1,-4,0,0,0,1,0,-1,0,-1
-3,-12,-10,-5,1,-2,-1,1,-4,-2,0,-20,2,-6,0,-1,-1,1,1,-1,1,-1
-8,-126,-56,-19,-8,1,-1,-9,-2,0,0,-1,0,-4,0,-4,-1,-1,-1,-1,3,-1
0,-24,4,-3,-3,-3,-1,6,-2,0,0,6,-1,-2,0,-1,1,-1,-1,-1,4,-1
-1,-5,-4,-1,-2,-2,0,1,2,-2,0,13,-2,-2,0,-1,0,0,-1,-1,0,-1
-2,-93,-1,-6,0,0,-2,-3,-1,0,0,-224,1,-8,0,0,-1,-1,-1,-1,5,-1
2,59,-4,8,0,1,4,2,1,-2,0,1,-2,-2,0,1,1,1,1,1,2,-1
-8,-191,1,-16,-10,1,-2,-3,-2,0,0,-7,3,-7,0,-1,-1,-1,-1,-1,5,-1
4,7,-14,6,0,3,-1,2,2,-3,0,0,1,-4,0,1,0,1,1,1,0,-1
-1,-6,-17,-1,-3,-2,0,2,2,-2,0,12,6,-7,0,0,0,0,-1,-1,0,-1
0,-39,-12,-1,-2,-1,5,2,-5,0,0,470,1,-3,0,-1,0,-1,-1,-1,0,-1
-1,10,-12,-6,2,-1,-1,-5,-1,0,0,-21,-2,-4,0,0,-1,0,0,-1,2,-1
0,-17,-24,2,6,-1,-6,4,-1,-2,0,16,-4,0,0,0,-1,1,1,1,2,-1
-4,-70,29,-10,4,-5,0,-11,2,-2,1,-11,4,-8,0,-1,1,-1,-1,1,2,-1
-5,-23,-32,-9,-2,-3,2,-2,-4,0,0,-2,-4,-2,0,0,-1,1,0,-1,1,-1
1,32,-1,6,1,-2,3,2,2,-2,0,1,5,-6,0,0,1,-1,-1,-1,3,-1
