queueId,matchId,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,dragonType,WIN_invadeKill,LOSE_invadeDeath,LOSE_invadeKill,WIN_invadeDeath,WIN_controlWARDPlaced,LOSE_controlWARDPlaced,WIN_Kill_top,WIN_Kill_jgl,WIN_Kill_mid,WIN_Kill_ad,WIN_Kill_sup,LOSE_Kill_top,LOSE_Kill_jgl,LOSE_Kill_mid,LOSE_Kill_ad,LOSE_Kill_sup,WIN_Death_top,WIN_Death_jgl,WIN_Death_mid,WIN_Death_ad,WIN_Death_sup,LOSE_Death_top,LOSE_Death_jgl,LOSE_Death_mid,LOSE_Death_ad,LOSE_Death_sup,WIN_Asisst_top,WIN_Asisst_jgl,WIN_Asisst_mid,WIN_Asisst_ad,WIN_Asisst_sup,LOSE_Asisst_top,LOSE_Asisst_jgl,LOSE_Asisst_mid,LOSE_Asisst_ad,LOSE_Asisst_sup,WIN_LV_top,WIN_LV_jgl,WIN_LV_mid,WIN_LV_ad,WIN_LV_sup,LOSE_LV_top,LOSE_LV_jgl,LOSE_LV_mid,LOSE_LV_ad,LOSE_LV_sup,WIN_CS_top,WIN_CS_jgl,WIN_CS_mid,WIN_CS_ad,WIN_CS_sup,LOSE_CS_top,LOSE_CS_jgl,LOSE_CS_mid,LOSE_CS_ad,LOSE_CS_sup,WIN_jglCS_top,WIN_jglCS_jgl,WIN_jglCS_mid,WIN_jglCS_ad,WIN_jglCS_sup,LOSE_jglCS_top,LOSE_jglCS_jgl,LOSE_jglCS_mid,LOSE_jglCS_ad,LOSE_jglCS_sup,WIN_GOLD_top,WIN_GOLD_jgl,WIN_GOLD_mid,WIN_GOLD_ad,WIN_GOLD_sup,LOSE_GOLD_top,LOSE_GOLD_jgl,LOSE_GOLD_mid,LOSE_GOLD_ad,LOSE_GOLD_sup,WIN_WARDkill,LOSE_WARDkill,WIN_Inhibitor,LOSE_Inhibitor,WIN_TOWERkill,LOSE_TOWERkill,WIN_WARDplaced,LOSE_WARDplaced
420,KR_6790644144,1,1,-1,0,6,0,0,0,0,5,4,0,1,0,1,1,3,2,0,0,1,3,1,0,1,1,0,0,0,1,2,0,0,0,9,4,1,9,0,0,0,7,6,8,7,6,8,7,8,6,5,57,0,87,86,16,60,3,87,55,3,0,60,0,0,0,0,48,0,4,0,2693,3301,3331,4187,2709,3770,3893,3277,2629,2456,5,7,0,0,0,0,21,20
420,KR_6791197494,-1,-1,0,0,1,1,1,1,1,5,2,4,2,3,2,2,0,1,1,0,1,0,1,1,1,0,3,2,4,2,2,0,8,9,18,16,0,4,6,6,6,9,6,8,6,5,8,7,8,6,6,85,6,76,71,15,58,5,68,66,8,0,48,0,0,0,0,68,0,0,0,4269,3777,4273,4110,3156,2513,3608,3477,2873,2788,5,3,0,0,0,0,17,27
420,KR_6779094788,-1,-1,1,0,3,0,0,0,0,5,2,2,2,2,3,1,0,2,0,3,0,0,0,2,2,1,2,2,2,1,3,0,11,1,10,9,0,10,7,0,10,8,7,9,6,6,8,7,8,6,5,64,2,92,70,17,91,1,79,73,13,0,61,0,0,0,0,52,0,0,0,3492,3932,4151,4250,2916,3479,3817,3478,4059,2229,1,3,0,0,0,0,14,15
420,KR_6788158537,-1,1,0,0,1,0,0,1,1,2,4,1,2,2,3,2,0,1,0,5,2,1,0,0,5,2,1,2,1,3,3,12,5,6,13,20,12,16,0,9,14,7,7,9,6,6,8,6,8,6,6,66,1,89,67,6,56,0,81,79,6,4,68,0,0,0,0,47,0,0,0,3394,3923,4034,4576,3274,2916,3344,3135,5247,3553,7,5,0,0,0,0,25,24
420,KR_6778876276,-1,0,0,0,0,0,0,0,0,4,6,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,2,3,0,0,2,0,0,0,5,0,8,7,8,7,6,8,7,8,6,6,66,2,80,79,2,85,0,75,82,3,0,64,0,0,0,0,68,0,0,0,3064,3594,3038,3047,2706,3304,3138,3311,3417,2772,4,3,0,0,0,0,44,22
420,KR_6782732955,1,0,0,0,0,0,0,0,0,4,1,2,3,6,2,1,0,2,0,0,0,0,0,1,0,1,4,1,4,2,3,6,18,0,6,14,0,0,0,6,3,8,6,9,7,6,7,6,7,6,5,79,3,74,78,14,66,6,63,70,10,0,47,0,0,0,0,39,0,0,0,4286,4250,4910,3844,2846,2808,3657,2836,3208,1998,2,1,0,0,0,0,27,14
420,KR_6766677178,-1,0,0,0,0,0,0,0,0,5,7,2,1,1,0,1,0,4,4,0,0,0,1,3,2,2,1,1,0,2,1,0,4,2,0,2,4,8,8,0,23,9,7,8,6,6,8,6,7,8,6,90,2,76,60,15,70,3,81,72,13,0,68,0,0,0,0,56,0,4,0,4142,3799,3353,2847,2468,3202,4573,4498,2940,2786,7,6,0,0,0,0,20,26
420,KR_6768530493,-1,0,0,0,0,0,0,0,0,6,6,0,2,0,5,0,1,4,1,1,0,2,0,3,0,2,1,0,1,3,2,0,14,6,0,27,1,5,11,0,2,8,7,8,7,6,8,7,8,7,6,81,4,91,88,14,78,6,88,80,16,0,60,0,0,0,0,44,0,0,0,3067,3847,3492,4940,2668,3750,4298,3889,3386,2343,6,7,0,0,0,0,21,19
420,KR_6790302789,-1,-1,1,1,2,0,0,0,0,4,4,0,3,2,1,0,0,2,2,2,0,0,0,1,3,2,1,1,2,1,1,1,0,6,4,1,0,0,11,6,15,9,6,8,7,5,8,7,8,6,5,96,5,84,75,9,78,4,63,62,10,0,48,0,0,0,0,60,0,0,0,3825,4147,4355,3689,2730,3109,3637,3534,3949,2386,8,2,0,0,1,0,17,17
420,KR_6785297282,1,1,-1,0,2,1,1,0,0,3,4,1,2,0,3,1,0,1,0,0,2,0,0,1,1,1,1,0,0,4,2,0,4,6,7,19,0,0,5,6,0,9,6,8,7,6,8,7,8,7,6,74,0,90,88,19,86,4,89,82,17,0,49,0,0,0,0,70,0,0,0,3337,3487,3348,4476,2999,3251,3567,3531,3445,2690,8,6,0,0,0,0,16,17
420,KR_6784980435,1,1,1,0,1,0,0,0,0,4,4,2,1,0,0,0,0,1,0,1,0,0,0,0,1,1,2,0,0,0,1,0,0,0,6,6,0,5,0,4,9,9,7,9,7,6,8,7,8,7,6,81,2,92,89,15,88,2,89,91,15,0,68,0,0,0,0,68,0,0,0,3992,3615,3476,3533,2230,3522,3614,3274,3743,2316,7,8,0,0,0,0,20,19
420,KR_6769534743,-1,1,-1,0,4,0,0,0,0,4,4,0,2,0,2,1,1,0,2,1,2,2,0,2,1,1,0,1,1,2,1,0,3,6,12,9,1,13,0,3,3,8,7,8,7,6,8,7,8,6,6,65,18,77,85,5,77,9,87,73,15,0,58,0,0,0,0,51,0,0,0,2857,3841,3212,4492,2977,3496,3412,4179,3374,2742,6,6,0,0,0,0,21,14
