queueId,matchId,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,dragonType,WIN_invadeKill,LOSE_invadeDeath,LOSE_invadeKill,WIN_invadeDeath,WIN_controlWARDPlaced,LOSE_controlWARDPlaced,WIN_Kill_top,WIN_Kill_jgl,WIN_Kill_mid,WIN_Kill_ad,WIN_Kill_sup,LOSE_Kill_top,LOSE_Kill_jgl,LOSE_Kill_mid,LOSE_Kill_ad,LOSE_Kill_sup,WIN_Death_top,WIN_Death_jgl,WIN_Death_mid,WIN_Death_ad,WIN_Death_sup,LOSE_Death_top,LOSE_Death_jgl,LOSE_Death_mid,LOSE_Death_ad,LOSE_Death_sup,WIN_Asisst_top,WIN_Asisst_jgl,WIN_Asisst_mid,WIN_Asisst_ad,WIN_Asisst_sup,LOSE_Asisst_top,LOSE_Asisst_jgl,LOSE_Asisst_mid,LOSE_Asisst_ad,LOSE_Asisst_sup,WIN_LV_top,WIN_LV_jgl,WIN_LV_mid,WIN_LV_ad,WIN_LV_sup,LOSE_LV_top,LOSE_LV_jgl,LOSE_LV_mid,LOSE_LV_ad,LOSE_LV_sup,WIN_CS_top,WIN_CS_jgl,WIN_CS_mid,WIN_CS_ad,WIN_CS_sup,LOSE_CS_top,LOSE_CS_jgl,LOSE_CS_mid,LOSE_CS_ad,LOSE_CS_sup,WIN_jglCS_top,WIN_jglCS_jgl,WIN_jglCS_mid,WIN_jglCS_ad,WIN_jglCS_sup,LOSE_jglCS_top,LOSE_jglCS_jgl,LOSE_jglCS_mid,LOSE_jglCS_ad,LOSE_jglCS_sup,WIN_GOLD_top,WIN_GOLD_jgl,WIN_GOLD_mid,WIN_GOLD_ad,WIN_GOLD_sup,LOSE_GOLD_top,LOSE_GOLD_jgl,LOSE_GOLD_mid,LOSE_GOLD_ad,LOSE_GOLD_sup,WIN_WARDkill,LOSE_WARDkill,WIN_Inhibitor,LOSE_Inhibitor,WIN_TOWERkill,LOSE_TOWERkill,WIN_WARDplaced,LOSE_WARDplaced
440,KR_6637113636,1,1,0,0,1,4,4,1,1,3,2,3,3,2,2,4,0,2,0,3,0,1,1,0,2,1,3,3,2,3,3,12,12,6,39,24,6,5,11,6,6,9,6,8,7,7,8,6,8,6,6,80,2,60,62,10,75,2,74,58,15,0,52,0,0,0,0,49,0,0,0,4237,3775,3712,5276,4116,3269,3721,3149,3836,1931,7,1,0,0,0,0,17,15
420,KR_6788361269,1,0,1,0,0,0,0,0,0,3,0,0,1,0,3,0,2,0,0,0,1,2,0,0,0,1,0,2,0,0,2,0,7,0,0,11,0,1,0,1,0,8,6,8,7,6,9,7,8,7,6,72,1,57,93,17,70,4,64,72,4,0,52,0,0,0,0,60,0,0,0,2881,3501,2622,4285,2469,3528,3124,3040,3177,2282,2,3,0,0,0,0,14,11
420,KR_6728121993,1,0,0,0,0,0,0,0,0,2,6,2,2,1,5,0,2,0,0,2,0,2,0,0,2,0,2,1,2,3,2,0,16,12,2,22,0,0,0,0,6,8,6,8,6,6,8,6,8,6,5,60,2,70,66,4,71,0,63,45,15,0,40,0,0,0,0,47,0,0,0,3288,3679,3700,4478,2845,4034,2648,2749,3357,2153,5,3,0,0,0,0,14,18
420,KR_6763625142,-1,0,0,0,0,0,0,2,2,2,6,2,1,4,1,0,2,0,1,2,1,2,0,1,2,1,2,2,2,1,1,0,12,2,4,6,0,17,6,6,10,9,7,8,6,6,8,6,8,6,6,75,2,81,67,3,64,11,74,76,5,0,56,0,0,0,0,44,0,0,0,3902,3640,4542,3301,2276,3488,3053,3730,3765,2604,5,5,0,0,0,0,19,18
420,KR_6782333471,1,1,0,0,5,2,2,2,2,2,1,0,3,3,0,2,1,0,2,2,0,1,1,1,1,1,0,4,1,0,3,0,12,6,25,19,0,20,6,6,5,8,6,8,7,5,8,6,8,7,5,77,0,90,74,14,78,0,61,75,0,0,60,0,0,0,0,47,0,0,0,3090,3882,4683,3251,2804,3345,3069,3342,3642,2127,1,0,0,0,0,0,22,21
420,KR_6785785009,-1,0,1,0,0,0,0,2,2,3,7,0,3,2,0,1,0,5,2,4,2,0,2,3,3,5,0,1,2,1,2,0,0,0,6,3,6,7,22,12,34,8,6,8,6,5,8,6,8,7,5,74,10,73,55,0,75,9,50,69,9,4,40,0,0,0,0,32,0,4,0,3408,4744,3472,2882,2624,3051,4736,3597,4627,2952,3,3,0,0,0,0,19,19
420,KR_6704098373,-1,0,1,1,0,0,0,1,1,2,2,1,1,0,7,2,1,2,1,3,1,1,3,1,1,2,1,2,1,3,4,0,6,12,5,28,7,15,3,0,4,8,6,8,7,6,8,6,7,6,6,67,2,72,77,10,59,1,51,53,15,0,38,0,0,0,0,36,0,0,0,3677,3320,3310,5761,3489,3610,3811,3048,3680,2687,2,1,0,0,0,0,17,12
420,KR_6788949753,1,1,1,0,2,0,0,0,0,4,2,0,1,1,4,0,1,4,0,0,0,2,1,2,0,0,0,1,2,2,1,0,8,14,0,13,7,0,9,0,2,8,6,8,7,6,9,6,8,6,6,74,8,69,81,4,85,2,66,71,1,0,52,0,0,0,0,56,0,0,0,2981,3579,3941,4699,2643,3922,4443,3231,2939,2242,4,3,0,0,0,0,28,18
420,KR_6788462329,1,0,0,0,0,0,0,0,0,1,3,1,2,0,0,0,1,2,0,1,0,0,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,9,6,8,6,6,8,7,8,6,5,72,3,67,69,16,65,3,68,62,13,0,52,0,0,0,0,60,0,0,0,3361,3596,2764,2934,2121,3250,3584,3066,3125,1979,2,0,0,0,0,0,11,13
440,KR_6781843291,-1,-1,0,0,6,0,0,0,0,3,3,1,4,1,1,0,0,2,2,2,0,1,2,1,1,1,2,0,2,1,2,5,0,5,3,0,6,7,5,4,6,9,6,8,6,6,8,6,7,6,6,65,1,62,53,17,66,1,68,70,3,0,40,0,0,0,0,40,0,0,0,3316,3748,3209,3221,2070,3021,3374,3936,4118,2242,4,5,0,0,0,0,18,16
420,KR_6639852732,-1,1,1,0,1,0,0,1,1,3,6,0,6,0,0,0,4,0,0,1,2,4,0,0,2,1,1,2,1,1,1,0,0,5,0,6,0,0,0,8,2,7,8,8,6,6,9,7,8,6,6,59,5,66,59,17,75,1,72,60,9,0,67,0,0,0,0,59,0,0,0,2672,6065,3181,2954,2297,4300,2901,3108,3512,3570,5,3,0,0,0,0,15,23
