queueId,matchId,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,dragonType,WIN_invadeKill,LOSE_invadeDeath,LOSE_invadeKill,WIN_invadeDeath,WIN_controlWARDPlaced,LOSE_controlWARDPlaced,WIN_Kill_top,WIN_Kill_jgl,WIN_Kill_mid,WIN_Kill_ad,WIN_Kill_sup,LOSE_Kill_top,LOSE_Kill_jgl,LOSE_Kill_mid,LOSE_Kill_ad,LOSE_Kill_sup,WIN_Death_top,WIN_Death_jgl,WIN_Death_mid,WIN_Death_ad,WIN_Death_sup,LOSE_Death_top,LOSE_Death_jgl,LOSE_Death_mid,LOSE_Death_ad,LOSE_Death_sup,WIN_Asisst_top,WIN_Asisst_jgl,WIN_Asisst_mid,WIN_Asisst_ad,WIN_Asisst_sup,LOSE_Asisst_top,LOSE_Asisst_jgl,LOSE_Asisst_mid,LOSE_Asisst_ad,LOSE_Asisst_sup,WIN_LV_top,WIN_LV_jgl,WIN_LV_mid,WIN_LV_ad,WIN_LV_sup,LOSE_LV_top,LOSE_LV_jgl,LOSE_LV_mid,LOSE_LV_ad,LOSE_LV_sup,WIN_CS_top,WIN_CS_jgl,WIN_CS_mid,WIN_CS_ad,WIN_CS_sup,LOSE_CS_top,LOSE_CS_jgl,LOSE_CS_mid,LOSE_CS_ad,LOSE_CS_sup,WIN_jglCS_top,WIN_jglCS_jgl,WIN_jglCS_mid,WIN_jglCS_ad,WIN_jglCS_sup,LOSE_jglCS_top,LOSE_jglCS_jgl,LOSE_jglCS_mid,LOSE_jglCS_ad,LOSE_jglCS_sup,WIN_GOLD_top,WIN_GOLD_jgl,WIN_GOLD_mid,WIN_GOLD_ad,WIN_GOLD_sup,LOSE_GOLD_top,LOSE_GOLD_jgl,LOSE_GOLD_mid,LOSE_GOLD_ad,LOSE_GOLD_sup,WIN_WARDkill,LOSE_WARDkill,WIN_Inhibitor,LOSE_Inhibitor,WIN_TOWERkill,LOSE_TOWERkill,WIN_WARDplaced,LOSE_WARDplaced
420,KR_6817447180,1,-1,1,1,3,1,1,0,0,8,7,2,2,3,3,0,0,0,1,1,1,0,0,0,1,2,3,2,2,1,3,7,9,2,3,31,0,0,0,3,8,10,8,10,8,7,10,8,9,9,6,109,4,92,86,6,123,5,103,114,6,0,70,0,2,0,0,82,0,0,0,5561,4851,5108,4736,3948,5228,3948,4535,5460,4340,13,13,0,0,0,3,68,36
420,KR_6797573850,1,-1,1,-1,6,0,0,0,0,6,6,5,1,4,4,0,2,5,2,1,2,1,2,4,2,4,5,2,2,2,3,0,25,19,0,30,0,0,42,28,30,10,7,8,7,6,9,8,10,8,6,106,7,62,99,16,83,7,102,99,9,0,58,0,0,0,0,81,0,0,0,6396,4341,4836,5669,3553,4170,5572,5493,5524,4362,10,8,0,0,1,1,27,29
420,KR_6823240525,-1,-1,1,0,1,0,0,0,0,7,5,1,0,2,4,3,2,4,1,1,0,3,2,0,2,1,1,4,2,1,2,5,41,14,0,23,9,7,0,15,15,9,9,10,9,6,10,8,10,9,6,69,13,115,114,17,101,13,123,103,20,0,78,0,0,0,0,61,0,0,0,3573,5137,5266,5671,3848,5095,5382,4760,4426,2996,6,11,0,0,0,0,60,42
420,KR_6817929345,1,-1,1,1,5,0,0,0,0,7,4,0,5,5,1,1,1,3,2,1,5,3,2,3,2,2,1,2,5,3,1,5,12,23,23,21,0,0,9,32,7,9,9,10,8,8,10,9,10,8,7,89,15,92,106,10,97,0,125,81,16,0,76,0,0,0,0,92,0,4,0,4261,6204,6549,5063,4079,4438,5202,5191,4687,5392,7,11,0,0,0,0,48,33
420,KR_6812491122,1,1,-1,0,3,1,1,0,0,8,7,1,4,5,4,2,2,0,3,2,4,0,3,2,4,2,2,3,5,4,2,13,16,25,33,28,0,46,7,4,8,10,8,10,7,9,9,8,9,8,6,109,10,86,8,64,93,15,71,88,17,0,67,0,0,0,0,72,0,0,0,4800,5498,5662,5558,4412,4356,5045,4532,4789,4272,7,4,0,0,0,0,35,152
420,KR_6804649760,-1,-1,1,-1,4,0,0,0,0,5,7,2,2,2,0,0,0,2,1,3,1,0,2,1,5,0,3,3,0,0,0,0,7,0,0,4,0,1,0,25,21,11,8,10,8,6,9,8,10,9,7,122,1,115,74,15,93,1,122,128,20,0,80,0,0,0,0,79,0,0,0,5617,5045,4948,3439,3572,3815,4623,4712,6113,3798,10,5,0,0,0,1,54,29
420,KR_6817142166,1,-1,1,0,1,0,0,0,0,5,6,0,0,1,2,0,0,1,3,0,1,1,1,2,0,1,0,1,0,2,0,0,7,0,0,9,8,12,16,7,0,9,7,9,8,7,9,8,10,7,8,97,2,108,111,22,74,9,107,14,94,0,63,0,0,0,0,80,0,0,0,3847,3941,4493,5135,3069,3655,4858,5662,3635,4413,10,8,0,0,0,0,46,25
420,KR_6818888145,1,1,1,1,2,0,0,0,0,3,5,1,0,3,4,2,1,2,4,2,0,2,3,0,3,1,2,1,1,3,3,0,43,8,18,51,18,23,9,19,18,9,8,9,7,7,9,8,9,7,6,110,17,97,110,1,86,7,77,69,16,0,56,0,8,0,0,70,0,0,0,4725,4701,5130,5904,3966,4179,4942,5071,4183,2896,1,2,0,0,1,0,22,26
420,KR_6821616234,1,1,-1,1,3,1,1,0,0,9,6,3,4,2,6,0,0,0,1,0,0,0,0,1,0,0,3,4,2,4,2,9,9,26,14,40,0,0,0,4,0,10,8,10,8,7,9,7,9,7,7,85,3,93,126,21,97,2,112,7,82,0,65,0,0,0,0,71,0,0,0,4834,4924,4871,7172,3718,3922,3777,4619,3359,3584,6,8,0,0,1,0,33,27
420,KR_6797333227,1,1,-1,0,5,0,0,0,0,7,6,0,10,4,2,1,0,3,0,3,1,2,0,1,2,2,0,2,6,4,5,0,14,4,24,39,13,0,0,5,9,10,8,11,8,7,10,8,8,7,6,88,4,111,92,6,114,6,86,75,18,0,66,0,0,0,0,54,0,0,0,3791,6755,5962,4948,4357,4974,4993,3524,4916,3086,5,7,0,0,0,0,55,26
