queueId,matchId,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,dragonType,WIN_invadeKill,LOSE_invadeDeath,LOSE_invadeKill,WIN_invadeDeath,WIN_controlWARDPlaced,LOSE_controlWARDPlaced,WIN_Kill_top,WIN_Kill_jgl,WIN_Kill_mid,WIN_Kill_ad,WIN_Kill_sup,LOSE_Kill_top,LOSE_Kill_jgl,LOSE_Kill_mid,LOSE_Kill_ad,LOSE_Kill_sup,WIN_Death_top,WIN_Death_jgl,WIN_Death_mid,WIN_Death_ad,WIN_Death_sup,LOSE_Death_top,LOSE_Death_jgl,LOSE_Death_mid,LOSE_Death_ad,LOSE_Death_sup,WIN_Asisst_top,WIN_Asisst_jgl,WIN_Asisst_mid,WIN_Asisst_ad,WIN_Asisst_sup,LOSE_Asisst_top,LOSE_Asisst_jgl,LOSE_Asisst_mid,LOSE_Asisst_ad,LOSE_Asisst_sup,WIN_LV_top,WIN_LV_jgl,WIN_LV_mid,WIN_LV_ad,WIN_LV_sup,LOSE_LV_top,LOSE_LV_jgl,LOSE_LV_mid,LOSE_LV_ad,LOSE_LV_sup,WIN_CS_top,WIN_CS_jgl,WIN_CS_mid,WIN_CS_ad,WIN_CS_sup,LOSE_CS_top,LOSE_CS_jgl,LOSE_CS_mid,LOSE_CS_ad,LOSE_CS_sup,WIN_jglCS_top,WIN_jglCS_jgl,WIN_jglCS_mid,WIN_jglCS_ad,WIN_jglCS_sup,LOSE_jglCS_top,LOSE_jglCS_jgl,LOSE_jglCS_mid,LOSE_jglCS_ad,LOSE_jglCS_sup,WIN_GOLD_top,WIN_GOLD_jgl,WIN_GOLD_mid,WIN_GOLD_ad,WIN_GOLD_sup,LOSE_GOLD_top,LOSE_GOLD_jgl,LOSE_GOLD_mid,LOSE_GOLD_ad,LOSE_GOLD_sup,WIN_WARDkill,LOSE_WARDkill,WIN_Inhibitor,LOSE_Inhibitor,WIN_TOWERkill,LOSE_TOWERkill,WIN_WARDplaced,LOSE_WARDplaced
420,KR_6798737285,1,-1,1,1,3,0,0,0,0,5,3,5,6,1,0,1,0,1,1,3,0,0,2,0,1,2,3,2,4,3,1,6,10,12,5,17,0,14,4,6,22,12,8,10,9,7,9,8,9,9,6,139,8,110,113,4,68,10,100,92,5,0,68,4,0,0,0,70,0,4,1,7242,6267,5274,5626,4096,3571,4449,4383,5230,3018,4,27,0,0,3,0,50,18
420,KR_6796824903,-1,1,1,1,1,0,0,0,0,6,5,1,6,3,6,1,4,1,3,0,0,5,1,1,0,1,2,5,3,4,3,10,20,15,3,31,0,0,0,0,3,10,9,11,8,7,10,7,10,7,7,90,2,117,102,21,90,5,90,85,20,0,75,0,0,0,0,64,0,0,0,4637,6673,6159,6451,4090,5244,4003,5080,3868,2876,3,6,0,0,1,0,25,16
440,KR_6694369523,1,0,1,1,0,0,0,0,0,4,3,4,5,4,0,2,1,1,1,3,3,1,0,3,2,3,3,4,5,2,1,0,9,7,21,12,0,19,12,0,9,10,8,7,8,10,10,8,8,8,8,93,13,21,89,85,85,23,58,102,10,0,56,0,0,0,0,0,0,0,64,6536,5889,5172,4573,5083,4360,3717,4153,5465,5175,3,6,0,0,2,0,20,27
420,KR_6795182412,-1,-1,-1,0,2,0,0,0,0,4,9,5,6,2,2,0,1,1,1,4,1,1,3,0,3,1,5,3,2,4,1,3,16,2,15,14,0,15,0,22,40,11,9,11,8,8,10,8,9,8,8,85,14,125,105,12,78,0,104,92,2,0,68,0,0,0,0,76,0,0,0,5803,6138,5838,5199,3296,4322,4555,4325,5735,3424,8,5,0,0,0,0,235,26
420,KR_6726002029,-1,1,0,1,1,0,0,0,0,6,5,0,4,6,3,4,0,1,0,0,0,0,0,1,0,0,1,5,4,3,4,10,18,1,30,44,0,0,10,0,0,10,9,10,9,8,10,7,9,8,7,122,11,117,110,27,121,10,91,81,16,0,72,0,0,0,0,43,0,0,0,4768,5516,7384,6169,5280,4595,3732,4081,3803,3478,15,11,0,0,1,0,27,47
420,KR_6789810180,-1,1,1,0,1,0,0,0,0,4,2,2,2,1,2,0,0,1,5,5,0,0,2,4,3,2,1,2,2,1,1,0,8,1,3,11,9,40,0,6,37,11,8,10,9,8,10,7,10,8,7,99,5,106,111,4,111,12,87,91,20,0,72,0,0,0,0,40,0,0,0,5401,4915,5284,5604,3441,4663,4113,5514,5720,3455,4,4,0,0,0,0,38,35
440,KR_6724718080,-1,-1,1,0,6,0,0,0,0,7,4,2,1,2,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,4,1,10,0,7,7,26,19,10,7,7,0,8,11,8,10,7,6,7,10,8,10,85,127,9,98,9,9,4,104,83,98,0,0,75,0,0,0,64,0,8,0,4584,4892,5328,4245,3922,3270,4140,4762,4361,4458,5,6,0,0,0,0,29,25
440,KR_6789677679,1,1,1,1,1,0,0,0,0,5,7,2,6,1,4,0,2,1,1,0,0,0,0,2,1,1,2,4,1,3,3,34,12,11,37,10,0,0,4,1,4,8,9,10,8,10,11,8,10,8,7,23,5,81,110,111,94,107,98,1,5,0,84,0,0,0,0,0,0,84,0,4267,6577,4243,6702,4578,4611,4738,4326,4203,2849,9,8,0,0,1,0,24,29
420,KR_6794971900,1,0,1,0,0,0,0,0,0,5,3,1,1,3,2,0,1,7,1,0,0,5,0,2,1,1,3,1,1,1,1,0,0,10,0,14,5,0,4,0,0,10,8,10,8,8,9,11,8,8,7,91,4,110,105,9,84,92,6,133,1,0,72,0,0,0,0,0,72,0,0,4492,4387,5986,4912,3268,4221,6260,4423,4731,2480,2,3,0,0,0,0,62,30
420,KR_6666963060,1,0,-1,-1,0,1,1,0,0,8,3,3,3,2,4,0,4,1,0,5,2,3,4,0,2,3,2,4,1,2,3,0,19,11,2,39,10,3,0,7,24,9,8,10,9,7,10,8,10,9,7,66,0,96,101,24,105,7,109,114,7,0,72,0,0,0,0,69,0,0,0,4515,5557,4654,5510,3440,6111,5049,4548,7344,4246,1,6,0,0,0,1,33,29
