queueId,matchId,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,dragonType,WIN_invadeKill,LOSE_invadeDeath,LOSE_invadeKill,WIN_invadeDeath,WIN_controlWARDPlaced,LOSE_controlWARDPlaced,WIN_Kill_top,WIN_Kill_jgl,WIN_Kill_mid,WIN_Kill_ad,WIN_Kill_sup,LOSE_Kill_top,LOSE_Kill_jgl,LOSE_Kill_mid,LOSE_Kill_ad,LOSE_Kill_sup,WIN_Death_top,WIN_Death_jgl,WIN_Death_mid,WIN_Death_ad,WIN_Death_sup,LOSE_Death_top,LOSE_Death_jgl,LOSE_Death_mid,LOSE_Death_ad,LOSE_Death_sup,WIN_Asisst_top,WIN_Asisst_jgl,WIN_Asisst_mid,WIN_Asisst_ad,WIN_Asisst_sup,LOSE_Asisst_top,LOSE_Asisst_jgl,LOSE_Asisst_mid,LOSE_Asisst_ad,LOSE_Asisst_sup,WIN_LV_top,WIN_LV_jgl,WIN_LV_mid,WIN_LV_ad,WIN_LV_sup,LOSE_LV_top,LOSE_LV_jgl,LOSE_LV_mid,LOSE_LV_ad,LOSE_LV_sup,WIN_CS_top,WIN_CS_jgl,WIN_CS_mid,WIN_CS_ad,WIN_CS_sup,LOSE_CS_top,LOSE_CS_jgl,LOSE_CS_mid,LOSE_CS_ad,LOSE_CS_sup,WIN_jglCS_top,WIN_jglCS_jgl,WIN_jglCS_mid,WIN_jglCS_ad,WIN_jglCS_sup,LOSE_jglCS_top,LOSE_jglCS_jgl,LOSE_jglCS_mid,LOSE_jglCS_ad,LOSE_jglCS_sup,WIN_GOLD_top,WIN_GOLD_jgl,WIN_GOLD_mid,WIN_GOLD_ad,WIN_GOLD_sup,LOSE_GOLD_top,LOSE_GOLD_jgl,LOSE_GOLD_mid,LOSE_GOLD_ad,LOSE_GOLD_sup,WIN_WARDkill,LOSE_WARDkill,WIN_Inhibitor,LOSE_Inhibitor,WIN_TOWERkill,LOSE_TOWERkill,WIN_WARDplaced,LOSE_WARDplaced
420,KR_6791322714,-1,1,1,1,4,0,0,0,0,5,5,1,8,0,1,3,0,1,1,0,1,0,0,1,2,0,3,5,4,0,1,0,15,23,6,2,0,0,0,19,0,9,10,10,9,8,9,7,10,8,8,77,8,106,72,42,72,5,92,111,23,0,82,0,0,4,0,58,0,0,0,4322,7921,5163,4248,5601,3605,3836,4265,4767,3594,4,8,0,0,2,0,22,25
420,KR_6746888079,-1,1,1,1,3,0,0,0,0,4,7,3,3,0,4,2,4,3,5,2,1,4,2,5,2,2,2,2,3,3,2,0,9,6,10,34,4,35,18,2,5,10,8,9,8,8,10,8,10,8,7,79,3,101,109,7,87,3,85,88,31,0,64,0,0,0,0,44,0,0,0,4948,5926,5240,6251,4708,5592,4679,5423,5030,3446,5,7,0,0,1,0,27,24
420,KR_6782393749,1,1,-1,0,3,0,0,0,0,3,2,1,0,5,1,2,0,2,1,1,0,0,0,1,2,1,0,2,3,1,3,0,13,0,0,0,0,0,0,1,6,10,8,11,8,8,10,9,10,9,7,114,5,108,84,27,78,1,85,113,6,0,58,0,0,0,0,93,0,0,0,5055,3922,5821,4281,4140,3665,5166,4239,4656,3597,3,3,0,0,0,0,20,24
420,KR_6490075420,-1,1,1,1,3,0,0,0,0,3,2,1,4,4,4,2,0,1,0,0,1,1,0,0,1,0,3,3,2,4,3,4,2,0,4,34,7,9,0,9,0,11,9,11,9,8,9,9,9,8,7,117,1,97,125,5,84,4,77,104,5,0,88,0,0,0,0,80,0,0,0,6342,6625,5777,6888,5396,4086,4574,3503,4612,3158,5,2,0,0,3,0,20,22
420,KR_6661258875,-1,1,-1,1,4,0,0,0,0,4,10,2,2,1,1,0,3,2,2,3,0,3,2,1,2,2,2,0,1,1,2,0,11,0,0,2,0,7,9,7,21,10,9,9,8,8,10,8,11,9,7,116,2,66,110,11,76,4,122,104,15,0,78,0,0,0,0,58,0,0,0,5653,5116,3700,5467,4072,5171,5169,5753,5666,3250,7,7,0,0,1,0,127,26
440,KR_6701358458,-1,1,-1,-1,5,0,0,0,0,6,6,2,4,4,2,2,2,1,0,1,1,3,0,0,2,0,3,1,2,4,4,7,22,6,8,3,0,10,0,7,0,10,9,10,9,8,10,8,9,8,7,107,3,94,110,8,130,5,82,79,4,0,96,4,0,0,0,72,0,0,0,5068,5832,5698,5599,3974,6362,4817,3783,4153,2977,4,4,0,0,0,1,25,15
440,KR_6795683000,-1,-1,-1,0,4,0,0,0,0,4,4,1,2,2,0,0,2,0,3,0,0,1,1,3,0,0,1,1,3,0,0,0,16,10,0,9,1,1,0,0,0,9,8,10,9,7,10,8,10,9,6,55,15,95,123,0,90,6,97,104,7,0,84,0,0,0,0,60,0,0,0,3406,5133,4751,4682,2754,4991,3711,5087,4042,2397,4,3,0,0,0,0,22,20
420,KR_6765160012,1,1,-1,-1,6,0,0,0,0,7,4,0,5,1,2,2,2,1,0,1,2,2,0,1,2,1,2,0,2,5,1,10,10,0,11,13,0,4,3,0,9,9,9,10,8,8,11,8,10,7,8,57,11,100,81,29,117,5,77,60,14,0,72,0,0,0,0,68,0,0,0,3766,5607,4605,4597,4754,6062,4563,3892,3786,4258,8,4,0,0,0,0,22,27
420,KR_6791204738,1,1,1,1,6,0,0,0,0,2,5,4,4,1,3,1,0,1,2,1,1,0,1,2,1,1,5,2,1,2,3,2,9,0,9,15,0,28,4,2,10,11,8,10,8,8,9,8,10,8,8,120,8,92,105,25,81,6,94,88,9,4,62,0,0,0,0,56,1,0,0,6785,5228,4363,5637,3925,3653,4286,4774,4355,3691,1,1,0,0,1,0,19,21
420,KR_6674287108,1,-1,-1,0,6,1,1,0,0,6,0,3,3,3,3,1,0,3,1,1,0,0,3,1,0,1,3,3,2,2,3,16,25,10,18,32,0,7,0,0,7,11,9,10,9,7,10,9,10,8,7,94,3,91,123,19,97,10,105,89,19,0,90,0,0,0,0,90,0,0,0,5280,5750,5001,5683,3827,4350,5504,4922,4173,3446,5,5,0,0,0,0,31,22
420,KR_6713174594,-1,1,1,0,3,0,0,1,1,3,3,2,4,4,2,1,1,2,4,2,1,1,1,5,0,3,3,2,6,1,1,0,11,13,3,2,0,0,5,10,4,10,9,10,9,8,10,8,10,7,7,85,11,99,100,9,94,4,115,71,20,0,59,0,0,0,0,60,0,0,0,4605,5875,6265,5108,3948,4366,4225,6864,4418,3623,5,7,0,0,0,0,25,166
420,KR_6779968927,1,1,0,1,2,0,0,0,0,1,4,7,1,3,7,0,0,2,1,1,3,0,0,2,4,1,6,1,4,5,2,5,35,8,0,41,0,7,10,16,17,11,8,10,8,8,8,7,10,8,7,128,5,75,98,22,62,1,92,87,1,0,59,0,0,0,4,56,0,0,0,7277,4537,5253,6874,3856,3319,4526,4747,4397,4292,4,4,0,0,0,0,17,23
420,KR_6788417543,-1,-1,-1,0,2,1,1,1,1,3,5,2,3,3,1,0,2,5,1,2,2,4,1,2,2,3,2,2,2,2,1,5,3,13,13,15,20,13,17,20,16,10,9,11,8,7,11,9,10,8,7,93,19,88,105,19,82,3,93,87,19,0,72,0,0,0,0,68,0,0,0,4911,5586,4896,4603,2960,4466,5774,4821,4584,3722,3,4,0,0,0,0,25,21
420,KR_6675610741,1,-1,1,1,3,1,1,0,0,4,3,1,2,1,12,0,7,2,3,0,3,8,2,2,1,2,0,2,5,3,6,0,24,13,2,69,10,17,25,20,0,8,9,10,9,8,11,9,8,8,7,64,15,116,117,18,97,25,67,88,16,0,87,0,0,0,0,79,0,0,0,3818,6339,6077,8425,4160,6895,5284,4898,4455,5305,6,5,0,0,1,1,24,28
420,KR_6786832954,1,1,0,0,4,1,1,0,0,4,6,4,4,0,4,0,2,3,2,1,0,3,1,0,2,2,4,3,0,3,2,13,8,0,0,34,9,6,0,0,16,10,9,10,8,8,9,8,10,8,7,89,3,103,121,18,65,16,83,76,12,0,88,0,0,0,0,64,0,0,0,5843,5649,4633,5957,3614,4075,5167,4594,3913,3401,19,4,0,0,0,0,32,62
420,KR_6744519969,1,1,1,1,6,0,0,0,0,4,5,2,2,2,4,0,1,0,2,6,0,1,1,1,3,3,2,1,1,3,3,0,0,10,19,42,3,3,0,7,30,11,8,10,8,7,10,8,10,8,7,99,0,107,92,21,81,6,105,93,18,0,72,0,0,0,0,68,0,0,0,5722,4961,5136,5768,3792,4527,3982,5289,6344,3606,3,6,0,0,1,0,25,25
420,KR_6731520043,1,1,1,1,1,0,0,0,0,5,1,0,1,3,0,0,1,5,0,0,1,1,2,3,1,0,1,0,3,0,0,3,17,0,0,0,0,2,21,0,3,10,8,9,8,7,10,10,9,9,6,93,7,72,116,4,96,8,90,95,0,0,56,0,0,0,8,96,0,0,0,4223,4944,4848,5876,3605,5026,6185,4709,4612,2831,2,3,0,0,2,0,259,222
420,KR_6747340600,-1,-1,-1,1,2,0,0,0,0,6,2,0,7,5,3,2,0,4,0,1,1,1,1,0,2,2,5,3,5,2,2,73,11,25,4,6,10,0,10,1,12,10,9,11,8,7,9,8,8,8,7,64,15,122,77,7,69,13,67,97,3,0,88,0,0,0,0,67,0,0,0,4781,6581,7050,5014,3932,3532,6845,3364,4485,3879,4,4,0,0,1,0,94,17
