Minute,Model,accuracy_score,F1_score,ROC_AUC,TN,FP,FN,TP
5,RandomForest,76.25,76.87,76.23,1305,457,386,1401
5,LightGBM,81.29,81.4,81.29,1432,330,334,1453
5,CatBoost,78.22,78.38,78.22,1375,387,386,1401
5,ExtraTree,79.43,79.32,79.44,1419,343,387,1400
6,RandomForest,72.3,72.33,72.3,1281,481,502,1285
6,LightGBM,79.12,79.48,79.11,1373,389,352,1435
6,CatBoost,74.61,74.81,74.61,1310,452,449,1338
6,ExtraTree,77.09,76.96,77.1,1378,384,429,1358
7,RandomForest,70.72,70.62,70.73,1261,501,538,1249
7,LightGBM,78.75,78.89,78.75,1386,376,378,1409
7,CatBoost,75.23,75.16,75.24,1340,422,457,1330
7,ExtraTree,76.42,76.24,76.42,1369,393,444,1343
8,RandomForest,70.22,70.07,70.22,1255,507,550,1237
8,LightGBM,78.53,78.75,78.53,1375,387,375,1412
8,CatBoost,72.58,73.02,72.58,1259,503,470,1317
8,ExtraTree,75.74,75.56,75.75,1357,405,456,1331
9,RandomForest,70.16,70.29,70.16,1237,525,534,1253
9,LightGBM,78.92,78.92,78.93,1401,361,387,1400
9,CatBoost,76.3,76.37,76.3,1349,413,428,1359
9,ExtraTree,75.99,75.7,76.01,1370,392,460,1327
10,RandomForest,72.13,72.18,72.14,1277,485,504,1283
10,LightGBM,80.56,80.59,80.56,1427,335,355,1432
10,CatBoost,76.78,76.78,76.79,1363,399,425,1362
10,ExtraTree,77.82,77.67,77.83,1393,369,418,1369
11,RandomForest,72.81,72.92,72.81,1285,477,488,1299
11,LightGBM,81.29,81.34,81.29,1438,324,340,1447
11,CatBoost,78.11,78.37,78.1,1364,398,379,1408
11,ExtraTree,79.06,78.87,79.07,1419,343,400,1387
12,RandomForest,74.44,74.43,74.45,1322,440,467,1320
12,LightGBM,83.52,83.65,83.52,1468,294,291,1496
12,CatBoost,80.47,80.68,80.47,1409,353,340,1447
12,ExtraTree,79.8,79.67,79.81,1427,335,382,1405
13,RandomForest,76.53,76.58,76.53,1354,408,425,1362
13,LightGBM,84.73,84.82,84.73,1493,269,273,1514
13,CatBoost,83.74,83.84,83.74,1475,287,290,1497
13,ExtraTree,81.99,81.84,82.0,1470,292,347,1440
14,RandomForest,78.67,78.74,78.67,1390,372,385,1402
14,LightGBM,86.31,86.45,86.3,1512,250,236,1551
14,CatBoost,84.73,84.72,84.73,1505,257,285,1502
14,ExtraTree,84.0,83.98,84.0,1492,270,298,1489
15,RandomForest,80.42,80.58,80.42,1412,350,345,1442
15,LightGBM,87.6,87.73,87.6,1536,226,214,1573
15,CatBoost,86.76,86.87,86.75,1524,238,232,1555
15,ExtraTree,85.86,85.87,85.86,1522,240,262,1525
