Minute,Model,accuracy_score,F1_score,ROC_AUC,TN,FP,FN,TP
5,RandomForest,73.5,73.12,73.49,585,206,208,563
5,LightGBM,71.64,71.18,71.63,572,219,224,547
5,CatBoost,73.37,73.23,73.37,577,214,202,569
5,ExtraTree,72.79,72.53,72.79,576,215,210,561
6,RandomForest,72.6,72.39,72.6,573,218,210,561
6,LightGBM,71.64,71.18,71.63,572,219,224,547
6,CatBoost,73.37,73.23,73.37,577,214,202,569
6,ExtraTree,72.73,72.55,72.73,573,218,208,563
7,RandomForest,73.24,73.1,73.24,576,215,203,568
7,LightGBM,71.64,71.18,71.63,572,219,224,547
7,CatBoost,73.37,73.23,73.37,577,214,202,569
7,ExtraTree,72.73,72.41,72.72,577,214,212,559
8,RandomForest,73.05,72.93,73.05,574,217,204,567
8,LightGBM,71.64,71.18,71.63,572,219,224,547
8,CatBoost,73.37,73.23,73.37,577,214,202,569
8,ExtraTree,72.98,72.7,72.98,578,213,209,562
9,RandomForest,73.3,73.11,73.31,578,213,204,567
9,LightGBM,71.64,71.18,71.63,572,219,224,547
9,CatBoost,73.37,73.23,73.37,577,214,202,569
9,ExtraTree,72.66,72.43,72.66,574,217,210,561
10,RandomForest,73.62,73.28,73.62,585,206,206,565
10,LightGBM,71.64,71.18,71.63,572,219,224,547
10,CatBoost,73.37,73.23,73.37,577,214,202,569
10,ExtraTree,72.6,72.28,72.6,576,215,213,558
11,RandomForest,72.92,72.51,72.91,581,210,213,558
11,LightGBM,71.64,71.18,71.63,572,219,224,547
11,CatBoost,73.37,73.23,73.37,577,214,202,569
11,ExtraTree,72.73,72.48,72.73,575,216,210,561
12,RandomForest,72.86,72.68,72.86,574,217,207,564
12,LightGBM,71.64,71.18,71.63,572,219,224,547
12,CatBoost,73.37,73.23,73.37,577,214,202,569
12,ExtraTree,72.41,72.1,72.41,574,217,214,557
13,RandomForest,72.41,71.99,72.4,577,214,217,554
13,LightGBM,71.64,71.18,71.63,572,219,224,547
13,CatBoost,73.37,73.23,73.37,577,214,202,569
13,ExtraTree,72.6,72.39,72.6,573,218,210,561
14,RandomForest,73.11,72.8,73.11,580,211,209,562
14,LightGBM,71.64,71.18,71.63,572,219,224,547
14,CatBoost,73.37,73.23,73.37,577,214,202,569
14,ExtraTree,72.92,72.76,72.92,574,217,206,565
15,RandomForest,72.73,72.37,72.72,578,213,213,558
15,LightGBM,71.64,71.18,71.63,572,219,224,547
15,CatBoost,73.37,73.23,73.37,577,214,202,569
15,ExtraTree,72.98,72.81,72.99,575,216,206,565
