Minute,Model,accuracy_score,F1_score,ROC_AUC,TN,FP,FN,TP
5,RandomForest,76.83,77.41,76.82,866,270,270,925
5,LightGBM,77.01,77.46,77.0,874,262,274,921
5,CatBoost,76.88,77.31,76.88,874,262,277,918
5,ExtraTree,77.35,77.85,77.34,875,261,267,928
6,RandomForest,77.05,77.45,77.05,877,259,276,919
6,LightGBM,77.01,77.46,77.0,874,262,274,921
6,CatBoost,76.88,77.31,76.88,874,262,277,918
6,ExtraTree,77.48,77.97,77.47,877,259,266,929
7,RandomForest,76.92,77.47,76.91,868,268,270,925
7,LightGBM,77.01,77.46,77.0,874,262,274,921
7,CatBoost,76.88,77.31,76.88,874,262,277,918
7,ExtraTree,77.52,78.02,77.51,877,259,265,930
8,RandomForest,76.58,77.0,76.58,871,265,281,914
8,LightGBM,77.01,77.46,77.0,874,262,274,921
8,CatBoost,76.88,77.31,76.88,874,262,277,918
8,ExtraTree,77.39,77.9,77.38,875,261,266,929
9,RandomForest,76.75,77.23,76.74,870,266,276,919
9,LightGBM,77.01,77.46,77.0,874,262,274,921
9,CatBoost,76.88,77.31,76.88,874,262,277,918
9,ExtraTree,77.35,77.89,77.34,873,263,265,930
10,RandomForest,76.66,77.12,76.66,870,266,278,917
10,LightGBM,77.01,77.46,77.0,874,262,274,921
10,CatBoost,76.88,77.31,76.88,874,262,277,918
10,ExtraTree,77.18,77.63,77.18,876,260,272,923
11,RandomForest,76.58,77.12,76.57,865,271,275,920
11,LightGBM,77.01,77.46,77.0,874,262,274,921
11,CatBoost,76.88,77.31,76.88,874,262,277,918
11,ExtraTree,77.61,78.03,77.61,882,254,268,927
12,RandomForest,76.45,76.92,76.44,867,269,280,915
12,LightGBM,77.01,77.46,77.0,874,262,274,921
12,CatBoost,76.88,77.31,76.88,874,262,277,918
12,ExtraTree,77.61,78.14,77.59,876,260,262,933
13,RandomForest,76.23,76.74,76.23,863,273,281,914
13,LightGBM,77.01,77.46,77.0,874,262,274,921
13,CatBoost,76.88,77.31,76.88,874,262,277,918
13,ExtraTree,77.56,78.03,77.56,879,257,266,929
14,RandomForest,76.83,77.35,76.83,869,267,273,922
14,LightGBM,77.01,77.46,77.0,874,262,274,921
14,CatBoost,76.88,77.31,76.88,874,262,277,918
14,ExtraTree,77.35,77.85,77.34,875,261,267,928
15,RandomForest,76.71,77.23,76.7,867,269,274,921
15,LightGBM,77.01,77.46,77.0,874,262,274,921
15,CatBoost,76.88,77.31,76.88,874,262,277,918
15,ExtraTree,77.39,77.87,77.39,877,259,268,927
