Minute,Model,accuracy_score,F1_score,ROC_AUC,TN,FP,FN,TP
5,RandomForest,74.16,73.47,74.18,594,175,225,554
5,LightGBM,74.22,73.31,74.25,601,168,231,548
5,CatBoost,73.97,73.36,73.98,590,179,224,555
5,ExtraTree,74.03,73.34,74.05,593,176,226,553
6,RandomForest,74.61,73.96,74.63,597,172,221,558
6,LightGBM,74.22,73.31,74.25,601,168,231,548
6,CatBoost,73.97,73.36,73.98,590,179,224,555
6,ExtraTree,74.03,73.38,74.05,592,177,225,554
7,RandomForest,74.42,73.84,74.44,593,176,220,559
7,LightGBM,74.22,73.31,74.25,601,168,231,548
7,CatBoost,73.97,73.36,73.98,590,179,224,555
7,ExtraTree,74.22,73.56,74.24,594,175,224,555
8,RandomForest,74.03,73.38,74.05,592,177,225,554
8,LightGBM,74.22,73.31,74.25,601,168,231,548
8,CatBoost,73.97,73.36,73.98,590,179,224,555
8,ExtraTree,73.97,73.29,73.99,592,177,226,553
9,RandomForest,74.61,74.03,74.63,595,174,219,560
9,LightGBM,74.22,73.31,74.25,601,168,231,548
9,CatBoost,73.97,73.36,73.98,590,179,224,555
9,ExtraTree,73.84,73.13,73.86,592,177,228,551
10,RandomForest,73.64,72.65,73.67,598,171,237,542
10,LightGBM,74.22,73.31,74.25,601,168,231,548
10,CatBoost,73.97,73.36,73.98,590,179,224,555
10,ExtraTree,73.84,73.34,73.85,586,183,222,557
11,RandomForest,73.97,73.36,73.98,590,179,224,555
11,LightGBM,74.22,73.31,74.25,601,168,231,548
11,CatBoost,73.97,73.36,73.98,590,179,224,555
11,ExtraTree,74.16,73.54,74.18,592,177,223,556
12,RandomForest,74.35,73.66,74.37,596,173,224,555
12,LightGBM,74.22,73.31,74.25,601,168,231,548
12,CatBoost,73.97,73.36,73.98,590,179,224,555
12,ExtraTree,74.29,73.71,74.31,592,177,221,558
13,RandomForest,74.29,73.71,74.31,592,177,221,558
13,LightGBM,74.22,73.31,74.25,601,168,231,548
13,CatBoost,73.97,73.36,73.98,590,179,224,555
13,ExtraTree,74.03,73.41,74.05,591,178,224,555
14,RandomForest,74.42,73.64,74.44,599,170,226,553
14,LightGBM,74.22,73.31,74.25,601,168,231,548
14,CatBoost,73.97,73.36,73.98,590,179,224,555
14,ExtraTree,73.71,73.1,73.73,588,181,226,553
15,RandomForest,73.58,72.82,73.6,591,178,231,548
15,LightGBM,74.22,73.31,74.25,601,168,231,548
15,CatBoost,73.97,73.36,73.98,590,179,224,555
15,ExtraTree,74.1,73.6,74.11,588,181,220,559
