Minute,Model,accuracy_score,F1_score,ROC_AUC,TN,FP,FN,TP
5,RandomForest,79.51,79.44,79.52,967,233,263,958
5,LightGBM,79.6,79.57,79.6,965,235,259,962
5,CatBoost,80.01,79.97,80.02,971,229,255,966
5,ExtraTree,79.39,79.3,79.4,966,234,265,956
6,RandomForest,79.76,79.85,79.76,960,240,250,971
6,LightGBM,79.6,79.57,79.6,965,235,259,962
6,CatBoost,80.01,79.97,80.02,971,229,255,966
6,ExtraTree,79.43,79.44,79.44,961,239,259,962
7,RandomForest,79.51,79.59,79.52,958,242,254,967
7,LightGBM,79.6,79.57,79.6,965,235,259,962
7,CatBoost,80.01,79.97,80.02,971,229,255,966
7,ExtraTree,79.43,79.42,79.44,962,238,260,961
8,RandomForest,79.64,79.64,79.64,964,236,257,964
8,LightGBM,79.6,79.57,79.6,965,235,259,962
8,CatBoost,80.01,79.97,80.02,971,229,255,966
8,ExtraTree,79.43,79.32,79.44,968,232,266,955
9,RandomForest,80.3,80.36,80.3,968,232,245,976
9,LightGBM,79.6,79.57,79.6,965,235,259,962
9,CatBoost,80.01,79.97,80.02,971,229,255,966
9,ExtraTree,79.35,79.24,79.36,967,233,267,954
10,RandomForest,79.47,79.51,79.48,960,240,257,964
10,LightGBM,79.6,79.57,79.6,965,235,259,962
10,CatBoost,80.01,79.97,80.02,971,229,255,966
10,ExtraTree,79.31,79.08,79.32,973,227,274,947
11,RandomForest,79.31,79.32,79.31,959,241,260,961
11,LightGBM,79.6,79.57,79.6,965,235,259,962
11,CatBoost,80.01,79.97,80.02,971,229,255,966
11,ExtraTree,79.39,79.23,79.4,970,230,269,952
12,RandomForest,79.76,79.84,79.76,961,239,251,970
12,LightGBM,79.6,79.57,79.6,965,235,259,962
12,CatBoost,80.01,79.97,80.02,971,229,255,966
12,ExtraTree,79.6,79.5,79.61,969,231,263,958
13,RandomForest,79.72,79.74,79.72,964,236,255,966
13,LightGBM,79.6,79.57,79.6,965,235,259,962
13,CatBoost,80.01,79.97,80.02,971,229,255,966
13,ExtraTree,79.35,79.24,79.36,967,233,267,954
14,RandomForest,79.84,79.87,79.85,965,235,253,968
14,LightGBM,79.6,79.57,79.6,965,235,259,962
14,CatBoost,80.01,79.97,80.02,971,229,255,966
14,ExtraTree,79.22,79.1,79.23,966,234,269,952
15,RandomForest,79.76,79.75,79.77,966,234,256,965
15,LightGBM,79.6,79.57,79.6,965,235,259,962
15,CatBoost,80.01,79.97,80.02,971,229,255,966
15,ExtraTree,79.39,79.27,79.4,968,232,267,954
