Minute,Model,accuracy_score,F1_score,ROC_AUC,TN,FP,FN,TP
5,RandomForest,79.02,78.74,79.02,1730,423,480,1672
5,LightGBM,85.55,85.54,85.55,1843,310,312,1840
5,CatBoost,89.52,89.55,89.52,1922,231,220,1932
5,ExtraTree,90.57,90.51,90.57,1963,190,216,1936
6,RandomForest,77.12,77.06,77.12,1666,487,498,1654
6,LightGBM,83.46,83.33,83.46,1814,339,373,1779
6,CatBoost,88.11,88.16,88.11,1887,266,246,1906
6,ExtraTree,89.22,89.14,89.22,1937,216,248,1904
7,RandomForest,75.35,75.37,75.35,1621,532,529,1623
7,LightGBM,83.46,83.3,83.46,1817,336,376,1776
7,CatBoost,87.64,87.56,87.64,1900,253,279,1873
7,ExtraTree,88.55,88.47,88.55,1921,232,261,1891
8,RandomForest,74.1,74.1,74.1,1595,558,557,1595
8,LightGBM,83.16,83.03,83.16,1806,347,378,1774
8,CatBoost,88.01,88.08,88.01,1883,270,246,1906
8,ExtraTree,89.01,88.93,89.01,1933,220,253,1899
9,RandomForest,73.96,74.14,73.96,1577,576,545,1607
9,LightGBM,81.86,81.7,81.86,1781,372,409,1743
9,CatBoost,87.29,87.32,87.29,1874,279,268,1884
9,ExtraTree,88.34,88.33,88.34,1904,249,253,1899
10,RandomForest,74.24,74.26,74.24,1596,557,552,1600
10,LightGBM,83.0,83.09,83.0,1775,378,354,1798
10,CatBoost,87.32,87.25,87.32,1890,263,283,1869
10,ExtraTree,88.34,88.32,88.34,1905,248,254,1898
11,RandomForest,74.89,75.11,74.89,1593,560,521,1631
11,LightGBM,85.04,85.05,85.04,1829,324,320,1832
11,CatBoost,88.62,88.61,88.62,1909,244,246,1906
11,ExtraTree,89.31,89.27,89.31,1931,222,238,1914
12,RandomForest,77.07,77.38,77.07,1630,523,464,1688
12,LightGBM,86.97,86.97,86.97,1872,281,280,1872
12,CatBoost,88.52,88.47,88.52,1915,238,256,1896
12,ExtraTree,89.71,89.76,89.71,1920,233,210,1942
13,RandomForest,78.86,79.04,78.86,1679,474,436,1716
13,LightGBM,88.2,88.2,88.2,1899,254,254,1898
13,CatBoost,90.52,90.52,90.52,1949,204,204,1948
13,ExtraTree,90.43,90.39,90.43,1956,197,215,1937
14,RandomForest,81.81,81.87,81.81,1754,399,384,1768
14,LightGBM,89.48,89.5,89.48,1922,231,222,1930
14,CatBoost,92.31,92.29,92.31,1992,161,170,1982
14,ExtraTree,92.26,92.26,92.26,1988,165,168,1984
15,RandomForest,81.67,81.85,81.67,1737,403,386,1779
15,LightGBM,90.17,90.18,90.18,1939,201,222,1943
15,CatBoost,92.26,92.29,92.27,1980,160,173,1992
15,ExtraTree,92.71,92.74,92.71,1984,156,158,2007
Minute,Model,accuracy_score,F1_score,ROC_AUC,TN,FP,FN,TP
5,RandomForest,74.35,75.06,74.32,439,159,156,474
5,LightGBM,72.96,73.65,72.95,432,166,166,464
5,CatBoost,73.86,74.42,73.85,440,158,163,467
5,ExtraTree,74.02,74.78,73.99,436,162,157,473
6,RandomForest,74.35,75.14,74.32,437,161,154,476
6,LightGBM,72.96,73.65,72.95,432,166,166,464
6,CatBoost,73.86,74.42,73.85,440,158,163,467
6,ExtraTree,73.94,74.6,73.92,438,160,160,470
7,RandomForest,74.59,75.08,74.59,446,152,160,470
7,LightGBM,72.96,73.65,72.95,432,166,166,464
7,CatBoost,73.86,74.42,73.85,440,158,163,467
7,ExtraTree,73.62,74.33,73.59,435,163,161,469
8,RandomForest,74.02,74.7,74.0,438,160,159,471
8,LightGBM,72.96,73.65,72.95,432,166,166,464
8,CatBoost,73.86,74.42,73.85,440,158,163,467
8,ExtraTree,73.78,74.48,73.76,436,162,160,470
9,RandomForest,74.92,75.59,74.9,443,155,153,477
9,LightGBM,72.96,73.65,72.95,432,166,166,464
9,CatBoost,73.86,74.42,73.85,440,158,163,467
9,ExtraTree,73.86,74.5,73.84,438,160,161,469
10,RandomForest,74.76,75.36,74.74,444,154,156,474
10,LightGBM,72.96,73.65,72.95,432,166,166,464
10,CatBoost,73.86,74.42,73.85,440,158,163,467
10,ExtraTree,74.02,74.62,74.01,440,158,161,469
11,RandomForest,74.19,74.74,74.18,442,156,161,469
11,LightGBM,72.96,73.65,72.95,432,166,166,464
11,CatBoost,73.86,74.42,73.85,440,158,163,467
11,ExtraTree,73.94,74.6,73.92,438,160,160,470
12,RandomForest,73.53,74.14,73.52,437,161,164,466
12,LightGBM,72.96,73.65,72.95,432,166,166,464
12,CatBoost,73.86,74.42,73.85,440,158,163,467
12,ExtraTree,74.1,74.76,74.09,439,159,159,471
13,RandomForest,74.43,74.96,74.43,444,154,160,470
13,LightGBM,72.96,73.65,72.95,432,166,166,464
13,CatBoost,73.86,74.42,73.85,440,158,163,467
13,ExtraTree,73.62,74.41,73.58,433,165,159,471
14,RandomForest,73.86,74.46,73.85,439,159,162,468
14,LightGBM,72.96,73.65,72.95,432,166,166,464
14,CatBoost,73.86,74.42,73.85,440,158,163,467
14,ExtraTree,73.78,74.65,73.74,432,166,156,474
15,RandomForest,74.27,75.04,74.24,437,161,155,475
15,LightGBM,72.96,73.65,72.95,432,166,166,464
15,CatBoost,73.86,74.42,73.85,440,158,163,467
15,ExtraTree,74.19,75.02,74.15,435,163,154,476
