Minute,Model,accuracy_score,F1_score,ROC_AUC,TN,FP,FN,TP
5,RandomForest,81.12,81.04,81.13,1810,395,443,1791
5,LightGBM,86.64,86.51,86.65,1945,260,333,1901
5,CatBoost,91.37,91.35,91.38,2034,171,212,2022
5,ExtraTree,92.05,92.03,92.05,2049,156,197,2037
6,RandomForest,76.75,76.78,76.75,1701,504,528,1706
6,LightGBM,84.97,84.87,84.98,1901,304,363,1871
6,CatBoost,90.25,90.27,90.25,1998,207,226,2008
6,ExtraTree,91.57,91.51,91.58,2049,156,218,2016
7,RandomForest,73.87,73.67,73.88,1656,549,611,1623
7,LightGBM,83.76,83.69,83.76,1868,337,384,1850
7,CatBoost,88.87,88.86,88.88,1974,231,263,1971
7,ExtraTree,89.89,89.9,89.89,1991,214,235,1999
8,RandomForest,74.39,74.42,74.39,1648,557,580,1654
8,LightGBM,83.55,83.55,83.56,1855,350,380,1854
8,CatBoost,89.05,89.1,89.05,1967,238,248,1986
8,ExtraTree,90.0,90.0,90.0,1996,209,235,1999
9,RandomForest,73.78,73.81,73.78,1635,570,594,1640
9,LightGBM,83.13,83.03,83.13,1858,347,402,1832
9,CatBoost,88.94,88.84,88.95,1994,211,280,1954
9,ExtraTree,89.84,89.84,89.84,1994,211,240,1994
10,RandomForest,75.58,75.45,75.59,1689,516,568,1666
10,LightGBM,83.67,83.62,83.67,1863,342,383,1851
10,CatBoost,90.58,90.59,90.59,2008,197,221,2013
10,ExtraTree,90.07,90.05,90.07,2003,202,239,1995
11,RandomForest,75.63,75.63,75.63,1678,527,555,1679
11,LightGBM,85.06,85.05,85.07,1890,315,348,1886
11,CatBoost,90.27,90.27,90.27,2004,201,231,2003
11,ExtraTree,90.43,90.38,90.43,2018,187,238,1996
12,RandomForest,76.71,76.73,76.71,1700,505,529,1705
12,LightGBM,86.46,86.38,86.47,1932,273,328,1906
12,CatBoost,91.46,91.45,91.47,2032,173,206,2028
12,ExtraTree,91.03,91.0,91.04,2029,176,222,2012
13,RandomForest,78.4,78.31,78.4,1749,456,503,1731
13,LightGBM,88.06,88.03,88.07,1961,244,286,1948
13,CatBoost,92.57,92.59,92.57,2047,158,172,2062
13,ExtraTree,91.87,91.86,91.87,2042,163,198,2036
14,RandomForest,80.58,80.53,80.59,1794,411,451,1783
14,LightGBM,90.13,90.15,90.14,1996,209,229,2005
14,CatBoost,94.41,94.42,94.42,2093,112,136,2098
14,ExtraTree,93.04,93.03,93.04,2067,138,171,2063
15,RandomForest,81.47,81.58,81.47,1794,417,405,1820
15,LightGBM,90.69,90.74,90.69,1999,212,201,2024
15,CatBoost,94.23,94.27,94.23,2075,136,120,2105
15,ExtraTree,93.1,93.13,93.1,2057,154,152,2073
