Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP
GRANDMASTER,10,2023-11-23 16:15:54,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.05,73.15,73.18,73.18,1373,467,543,1378
GRANDMASTER,10,2023-11-23 16:15:54,"LGBMClassifier(max_depth=10, min_data_in_leaf=30, random_state=10, verbosity=0)",90.87,78.41,78.38,78.45,1477,363,449,1472
GRANDMASTER,10,2023-11-23 16:16:02,"CatBoost{'verbose': 0, 'random_state': 10}",91.69,79.95,80.16,79.97,1484,356,398,1523
GRANDMASTER,10,2023-11-23 16:16:05,ExtraTreesClassifier(random_state=10),100.0,77.11,77.14,77.14,1447,393,468,1453
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP
GRANDMASTER,10,2023-11-23 16:18:14,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.05,73.15,73.18,73.18,1373,467,543,1378
GRANDMASTER,10,2023-11-23 16:18:15,"LGBMClassifier(max_depth=10, random_state=10, verbosity=0)",91.04,78.22,78.32,78.25,1463,377,442,1479
GRANDMASTER,10,2023-11-23 16:18:22,"CatBoost{'verbose': 0, 'random_state': 10}",91.69,79.95,80.16,79.97,1484,356,398,1523
GRANDMASTER,10,2023-11-23 16:18:26,ExtraTreesClassifier(random_state=10),100.0,77.11,77.14,77.14,1447,393,468,1453
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP
GRANDMASTER,10,2023-11-23 16:19:07,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.05,73.15,73.18,73.18,1373,467,543,1378
GRANDMASTER,10,2023-11-23 16:19:07,"LGBMClassifier(max_depth=40, random_state=10, verbosity=0)",91.17,78.86,78.9,78.9,1480,360,435,1486
GRANDMASTER,10,2023-11-23 16:19:15,"CatBoost{'verbose': 0, 'random_state': 10}",91.69,79.95,80.16,79.97,1484,356,398,1523
GRANDMASTER,10,2023-11-23 16:19:18,ExtraTreesClassifier(random_state=10),100.0,77.11,77.14,77.14,1447,393,468,1453
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP
GRANDMASTER,10,2023-11-23 16:19:39,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.05,73.15,73.18,73.18,1373,467,543,1378
GRANDMASTER,10,2023-11-23 16:19:39,"LGBMClassifier(random_state=10, verbosity=0)",91.17,78.86,78.9,78.9,1480,360,435,1486
GRANDMASTER,10,2023-11-23 16:19:47,"CatBoost{'verbose': 0, 'random_state': 10}",91.69,79.95,80.16,79.97,1484,356,398,1523
GRANDMASTER,10,2023-11-23 16:19:50,ExtraTreesClassifier(random_state=10),100.0,77.11,77.14,77.14,1447,393,468,1453
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP
GRANDMASTER,10,2023-11-23 16:20:38,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.05,73.15,73.18,73.18,1373,467,543,1378
GRANDMASTER,10,2023-11-23 16:20:39,"LGBMClassifier(max_depth=10, min_data_in_leaf=30, random_state=10, verbosity=0)",90.87,78.41,78.38,78.45,1477,363,449,1472
GRANDMASTER,10,2023-11-23 16:20:46,"CatBoost{'verbose': 0, 'random_state': 10}",91.69,79.95,80.16,79.97,1484,356,398,1523
GRANDMASTER,10,2023-11-23 16:20:50,ExtraTreesClassifier(random_state=10),100.0,77.11,77.14,77.14,1447,393,468,1453
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP
GRANDMASTER,10,2023-11-23 16:21:27,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.05,73.15,73.18,73.18,1373,467,543,1378
GRANDMASTER,10,2023-11-23 16:21:28,"LGBMClassifier(random_state=10, verbosity=0)",91.17,78.86,78.9,78.9,1480,360,435,1486
GRANDMASTER,10,2023-11-23 16:21:35,"CatBoost{'verbose': 0, 'random_state': 10}",91.69,79.95,80.16,79.97,1484,356,398,1523
GRANDMASTER,10,2023-11-23 16:21:39,ExtraTreesClassifier(random_state=10),100.0,77.11,77.14,77.14,1447,393,468,1453
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP
GRANDMASTER,10,2023-11-23 16:23:24,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.05,73.15,73.18,73.18,1373,467,543,1378
GRANDMASTER,10,2023-11-23 16:23:24,"LGBMClassifier(random_state=10, verbosity=0)",91.17,78.86,78.9,78.9,1480,360,435,1486
GRANDMASTER,10,2023-11-23 16:23:32,"CatBoost{'verbose': 0, 'random_state': 10}",91.69,79.95,80.16,79.97,1484,356,398,1523
GRANDMASTER,10,2023-11-23 16:23:36,ExtraTreesClassifier(random_state=10),100.0,77.11,77.14,77.14,1447,393,468,1453
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP
GRANDMASTER,10,2023-11-23 16:23:55,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.05,73.15,73.18,73.18,1373,467,543,1378
GRANDMASTER,10,2023-11-23 16:23:55,"LGBMClassifier(min_data_in_leaf=20, random_state=10, verbosity=0)",91.17,78.86,78.9,78.9,1480,360,435,1486
GRANDMASTER,10,2023-11-23 16:24:03,"CatBoost{'verbose': 0, 'random_state': 10}",91.69,79.95,80.16,79.97,1484,356,398,1523
GRANDMASTER,10,2023-11-23 16:24:06,ExtraTreesClassifier(random_state=10),100.0,77.11,77.14,77.14,1447,393,468,1453
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP
GRANDMASTER,10,2023-11-23 16:25:23,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.05,73.15,73.18,73.18,1373,467,543,1378
GRANDMASTER,10,2023-11-23 16:25:23,"LGBMClassifier(bagging_fraction=0.8, random_state=10, verbosity=0)",91.17,78.86,78.9,78.9,1480,360,435,1486
GRANDMASTER,10,2023-11-23 16:25:31,"CatBoost{'verbose': 0, 'random_state': 10}",91.69,79.95,80.16,79.97,1484,356,398,1523
GRANDMASTER,10,2023-11-23 16:25:34,ExtraTreesClassifier(random_state=10),100.0,77.11,77.14,77.14,1447,393,468,1453
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP
GRANDMASTER,10,2023-11-23 16:29:12,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.05,73.15,73.18,73.18,1373,467,543,1378
GRANDMASTER,10,2023-11-23 16:29:12,"LGBMClassifier(bagging_fraction=0.8, max_depth=5, random_state=10, verbosity=0)",87.47,78.68,78.72,78.71,1476,364,438,1483
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP
GRANDMASTER,10,2023-11-23 16:29:27,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.05,73.15,73.18,73.18,1373,467,543,1378
GRANDMASTER,10,2023-11-23 16:29:28,"LGBMClassifier(bagging_fraction=0.8, max_depth=5, random_state=10, verbosity=0)",87.47,78.68,78.72,78.71,1476,364,438,1483
GRANDMASTER,10,2023-11-23 16:29:35,"CatBoost{'verbose': 0, 'random_state': 10}",91.69,79.95,80.16,79.97,1484,356,398,1523
GRANDMASTER,10,2023-11-23 16:29:39,ExtraTreesClassifier(random_state=10),100.0,77.11,77.14,77.14,1447,393,468,1453
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP
GRANDMASTER,10,2023-11-23 16:30:24,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.05,73.15,73.18,73.18,1373,467,543,1378
GRANDMASTER,10,2023-11-23 16:30:25,"LGBMClassifier(max_depth=5, random_state=10, verbosity=0)",87.47,78.68,78.72,78.71,1476,364,438,1483
GRANDMASTER,10,2023-11-23 16:30:32,"CatBoost{'verbose': 0, 'random_state': 10}",91.69,79.95,80.16,79.97,1484,356,398,1523
GRANDMASTER,10,2023-11-23 16:30:36,ExtraTreesClassifier(random_state=10),100.0,77.11,77.14,77.14,1447,393,468,1453
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP
GRANDMASTER,10,2023-11-23 16:32:05,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.05,73.15,73.18,73.18,1373,467,543,1378
GRANDMASTER,10,2023-11-23 16:32:06,"LGBMClassifier(max_depth=5, num_leaves=50, random_state=10, verbosity=0)",87.42,78.44,78.39,78.48,1479,361,450,1471
GRANDMASTER,10,2023-11-23 16:32:13,"CatBoost{'verbose': 0, 'random_state': 10}",91.69,79.95,80.16,79.97,1484,356,398,1523
GRANDMASTER,10,2023-11-23 16:32:17,ExtraTreesClassifier(random_state=10),100.0,77.11,77.14,77.14,1447,393,468,1453
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
GRANDMASTER,10,2023-11-23 16:40:47,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",95.57,67.17,66.89,67.18,204,94,103,199,data slicing 1000
GRANDMASTER,10,2023-11-23 16:40:48,"LGBMClassifier(bagging_fraction=0.8, max_depth=5, num_leaves=50,
               random_state=10, verbosity=0)",96.93,72.67,72.01,72.69,225,73,91,211,data slicing 1000
GRANDMASTER,10,2023-11-23 16:40:52,"CatBoost{'verbose': 0, 'random_state': 10}",97.71,74.0,73.47,74.02,228,70,86,216,data slicing 1000
GRANDMASTER,10,2023-11-23 16:40:53,ExtraTreesClassifier(random_state=10),100.0,72.17,71.45,72.19,224,74,93,209,data slicing 1000
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
GRANDMASTER,10,2023-11-23 16:55:52,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.05,73.15,73.18,73.18,1373,467,543,1378,remove warning message
GRANDMASTER,10,2023-11-23 16:55:52,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",87.17,78.49,78.54,78.52,1472,368,441,1480,remove warning message
GRANDMASTER,10,2023-11-23 16:56:00,"CatBoost{'verbose': 0, 'random_state': 10}",91.69,79.95,80.16,79.97,1484,356,398,1523,remove warning message
GRANDMASTER,10,2023-11-23 16:56:04,ExtraTreesClassifier(random_state=10),100.0,77.11,77.14,77.14,1447,393,468,1453,remove warning message
