Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
GRANMASTER,10,2023-11-24 15:17:58,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.05,73.15,73.18,73.18,1373,467,543,1378,solve ExtraTrees overfittng
GRANMASTER,10,2023-11-24 15:17:59,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",87.17,78.49,78.54,78.52,1472,368,441,1480,solve ExtraTrees overfittng
GRANMASTER,10,2023-11-24 15:18:07,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'random_state': 10}",90.13,79.53,79.64,79.55,1485,355,415,1506,solve ExtraTrees overfittng
GRANMASTER,10,2023-11-24 15:18:08,"ExtraTreesClassifier(max_depth=7, random_state=10)",75.73,71.87,70.64,71.99,1430,410,648,1273,solve ExtraTrees overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
GRANMASTER,15,2023-11-24 15:19:00,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",86.62,81.45,81.91,81.43,1485,371,327,1580,solve ExtraTrees overfittng
GRANMASTER,15,2023-11-24 15:19:00,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",92.38,86.93,87.19,86.91,1597,259,233,1674,solve ExtraTrees overfittng
GRANMASTER,15,2023-11-24 15:19:08,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'random_state': 10}",94.95,88.41,88.6,88.41,1632,224,212,1695,solve ExtraTrees overfittng
GRANMASTER,15,2023-11-24 15:19:09,"ExtraTreesClassifier(max_depth=7, random_state=10)",82.97,80.84,80.88,80.85,1517,339,382,1525,solve ExtraTrees overfittng
