iter	Logloss
0	0.6413843487
1	0.6171750912
2	0.5988904145
3	0.581117768
4	0.5718227783
5	0.5594415481
6	0.5292342312
7	0.5224105825
8	0.5170141234
9	0.5057197156
10	0.4998465473
11	0.4954253522
12	0.493329313
13	0.4894705024
14	0.4871753305
15	0.482333159
16	0.4793388254
17	0.4755342644
18	0.4743032538
19	0.4720856679
20	0.4706299152
21	0.4684711069
22	0.4651109257
23	0.4644681483
24	0.4627083359
25	0.460110091
26	0.4581694144
27	0.4565802428
28	0.4328896541
29	0.4312325143
30	0.4213883061
31	0.4205376425
32	0.4196930748
33	0.4187451149
34	0.4181431635
35	0.4175928612
36	0.4157634231
37	0.415224482
38	0.4133420771
39	0.412534908
40	0.4120493295
41	0.4114704907
42	0.4104121292
43	0.4091090945
44	0.4072456925
45	0.4060855567
46	0.4053703928
47	0.4044281531
48	0.403247205
49	0.4024026112
50	0.4017446697
51	0.4006498515
52	0.3987497536
53	0.3979472648
54	0.3965762
55	0.3955131749
56	0.3947628959
57	0.3937186106
58	0.3924874449
59	0.391312814
60	0.3904927065
61	0.3895711268
62	0.3885653713
63	0.3878646002
64	0.3865664805
65	0.3856742138
66	0.3776246944
67	0.3770506922
68	0.3762903586
69	0.3755211654
70	0.3747688167
71	0.3740239033
72	0.3727817645
73	0.3717394042
74	0.3708641681
75	0.3700244813
76	0.3693237217
77	0.3684978307
78	0.3679224662
79	0.367224359
80	0.3665347493
81	0.3661861481
82	0.3651626558
83	0.3643114544
84	0.3638134566
85	0.363175218
86	0.3624729125
87	0.3618535432
88	0.3605355681
89	0.3599156004
90	0.3591537091
91	0.358186899
92	0.3575669193
93	0.3568944522
94	0.3561404626
95	0.3554697964
96	0.3547154029
97	0.3539905869
98	0.3532630718
99	0.3524269377
