iter	Passed	Remaining
0	160	15860
1	168	8246
2	176	5693
3	184	4421
4	191	3641
5	199	3125
6	206	2743
7	213	2456
8	221	2239
9	229	2066
10	236	1913
11	242	1779
12	249	1669
13	255	1571
14	262	1486
15	268	1411
16	276	1349
17	283	1289
18	289	1236
19	297	1188
20	303	1143
21	310	1102
22	317	1063
23	323	1024
24	329	989
25	335	955
26	341	924
27	350	900
28	357	874
29	364	851
30	371	826
31	378	803
32	384	781
33	391	760
34	399	741
35	406	722
36	413	703
37	420	686
38	433	678
39	440	660
40	446	643
41	453	626
42	459	609
43	466	593
44	473	578
45	480	563
46	486	548
47	493	534
48	499	520
49	505	505
50	512	492
51	518	479
52	526	466
53	533	454
54	541	442
55	547	430
56	554	418
57	561	406
58	568	395
59	576	384
60	582	372
61	590	361
62	596	350
63	603	339
64	610	328
65	617	318
66	625	307
67	633	297
68	642	288
69	648	278
70	656	268
71	662	257
72	669	247
73	676	237
74	682	227
75	689	217
76	696	207
77	703	198
78	709	188
79	715	178
80	722	169
81	728	160
82	735	150
83	741	141
84	747	131
85	755	122
86	761	113
87	768	104
88	775	95
89	783	87
90	789	78
91	798	69
92	805	60
93	811	51
94	819	43
95	825	34
96	833	25
97	841	17
98	848	8
99	855	0
