iter	Passed	Remaining
0	37	3686
1	78	3844
2	117	3784
3	152	3665
4	195	3715
5	238	3733
6	274	3643
7	312	3597
8	371	3753
9	461	4157
10	525	4250
11	566	4157
12	621	4158
13	660	4056
14	699	3963
15	737	3872
16	786	3838
17	840	3827
18	889	3790
19	924	3697
20	961	3615
21	996	3532
22	1034	3462
23	1068	3384
24	1104	3313
25	1138	3239
26	1172	3170
27	1203	3095
28	1242	3041
29	1280	2988
30	1313	2923
31	1347	2864
32	1380	2802
33	1413	2744
34	1446	2686
35	1478	2629
36	1515	2579
37	1546	2523
38	1581	2474
39	1620	2430
40	1656	2383
41	1692	2337
42	1729	2292
43	1765	2246
44	1798	2198
45	1840	2160
46	1875	2115
47	1911	2071
48	1949	2028
49	1981	1981
50	2018	1939
51	2052	1894
52	2085	1849
53	2116	1803
54	2147	1756
55	2182	1714
56	2218	1673
57	2252	1631
58	2284	1587
59	2317	1544
60	2350	1502
61	2385	1461
62	2432	1428
63	2476	1393
64	2514	1354
65	2550	1314
66	2598	1279
67	2638	1241
68	2676	1202
69	2715	1163
70	2746	1121
71	2778	1080
72	2809	1039
73	2843	999
74	2879	959
75	2922	923
76	2960	884
77	3000	846
78	3035	806
79	3072	768
80	3104	728
81	3140	689
82	3177	650
83	3211	611
84	3250	573
85	3284	534
86	3315	495
87	3349	456
88	3383	418
89	3411	379
90	3436	339
91	3462	301
92	3499	263
93	3534	225
94	3566	187
95	3592	149
96	3620	111
97	3655	74
98	3687	37
99	3715	0
